id,input_format,input,expected_canonical,spec_version
benzene,smiles,C1=CC=CC=C1,C1=CC=CC=C1,1
benzene_kekule_rotation,smiles,C=1C=CC=CC=1,C1=CC=CC=C1,1
naphthalene,smiles,C1=CC2=CC=CC=C2C=C1,C1=2C(=CC=CC=2)C=CC=C1,1
cyclohexane,smiles,C1CCCCC1,C1CCCCC1,1
decalin,smiles,C1CCC2CCCCC2C1,C12C(CCCC2)CCCC1,1
norbornane,smiles,C1CC2CCC1C2,C12CC(CC2)CC1,1
neopentane,smiles,CC(C)(C)C,C(C)(C)(C)C,1
isobutane,smiles,CC(C)C,C(C)(C)C,1
dimethyl_ether,smiles,COC,COC,1
ethanol,smiles,CCO,C(O)C,1
ammonium,smiles,[NH4+],[NH4+],1
hydroxide,smiles,[OH-],[OH-],1
acetate,smiles,CC(=O)[O-],C([O-])(=O)C,1
methane_13c,smiles,[13CH4],[13CH4],1
deuterated_water,smiles,[2H]O[2H],O([2H])[2H],1
carbon_formula,formula,C,C,1
carbon_bracket,smiles,[C],C,1
oxygen_formula,formula,O,O,1
oxygen_bracket,smiles,[O],O,1
water_formula,formula,H2O,O.[H].[H],1
ammonia_formula,formula,NH3,N.[H].[H].[H],1
methanesulfonic_acid,smiles,CS(=O)(=O)O,CS(=O)(O)=O,1
cyclohexane_pct10,smiles,C%10CCCCC%10,C1CCCCC1,1
deep_branching,smiles,CC(C)C(C)C(C)C,C(C(C)C)(C)C(C)C,1
methanol,smiles,CO,CO,1
ethene,smiles,C=C,C=C,1
formaldehyde,smiles,C=O,C=O,1
hydrogen_cyanide,smiles,C#N,C#N,1
urea,smiles,NC(N)=O,C(N)(=O)N,1
butadiene,smiles,C=C-C=C,C(=C)C=C,1
